Word,UsageCount,MeanEngagementRate,NormalizedEngagement
hamletisntdead,129,18.940733295378948,0.5123640015332618
hidiots,123,15.532314854456141,0.4126173075547636
shakespeare,119,17.623543651046738,0.473816706169703
bio,64,16.040025969117092,0.4274753732709721
love,62,7.726155918669125,0.18417160465431354
nycshakespeare,61,14.465070311692608,0.38138460633207144
see,58,16.79815157402198,0.4496617696951265
link,58,18.310345009471845,0.49391581257645584
tickets,52,17.443532466009252,0.46854871431428413
hid,48,34.813116927317346,0.9768661805602118
like,44,8.347265503171785,0.20234825424306693
friends,43,4.462693813043129,0.08866702926181289
fun,40,3.019204576274661,0.046423601215396806
happy,40,4.838295473645538,0.09965893783973412
show,39,9.404422512889724,0.23328574579912428
theatrekid,38,5.511785261062929,0.11936848374424995
follow,38,4.330295518036544,0.08479241925010282
cast,36,13.722827999787679,0.35966303134744915
get,36,21.435600045663133,0.5853757853183393
photooftheday,34,2.431620527707616,0.029228069828940648
tagstagram,34,2.431620527707616,0.029228069828940648
fashion,34,2.431620527707616,0.029228069828940648
art,34,2.431620527707616,0.029228069828940648
beauty,34,2.431620527707616,0.029228069828940648
picoftheday,34,2.431620527707616,0.029228069828940648
instagood,34,2.431620527707616,0.029228069828940648
instalike,34,2.431620527707616,0.029228069828940648
instadaily,34,2.431620527707616,0.029228069828940648
like4like,34,2.431620527707616,0.029228069828940648
cute,34,2.431620527707616,0.029228069828940648
igers,34,2.431620527707616,0.029228069828940648
selfie,34,2.431620527707616,0.029228069828940648
nyc,32,35.60361567866299,0.9999999707351972
nyctheatre,32,33.05108072178426,0.9253005382487713
cymbeline,31,6.219173480207036,0.14007006057290322
one,29,10.979644501481449,0.2793843068671486
classicalactor,28,6.908189056780317,0.16023396563740758
toomuch_tori,28,2.4995891077319556,0.031217156928823063
ticket,27,23.66734968623271,0.6506874987399598
week,25,16.213359981991285,0.43254795899889886
last,25,15.684760286341621,0.41707859307655654
ladymaudlin,24,3.021346838760382,0.04648629410486696
night,24,12.930859481863541,0.3364862287431903
itsemmamueller,23,1.4328757250075324,0.0
come,23,14.691808445470159,0.38802005313391474
centeratwestpark,22,31.671707003145368,0.8849334382052083
miss,21,18.938743105754806,0.512305759026117
pericles,21,4.773145564962656,0.09775233860118547
hidiocy,21,21.76171561366028,0.5949194931483639
hamlet,20,15.031850635308777,0.39797132080761854
